场景,模型,求解器,分享率_LLM,分享率_GT,LLM分享集合,理论分享集合,集合相似度,利润MAE,福利MAE,泄露MAE,泄露分桶匹配,过度分享匹配
B,gemini-3-flash-preview,exact,45.00%,80.00%,"[2, 3, 6, 10, 13, 14, 15, 16, 19]","[0, 2, 3, 4, 5, 6, 8, 9, 10, 13, 14, 15, 16, 17, 18, 19]",0.562,1.9344,1.7339,5.5342,[否],[是]
B,gpt-4.1-mini,exact,5.00%,80.00%,[3],"[0, 2, 3, 4, 5, 6, 8, 9, 10, 13, 14, 15, 16, 17, 18, 19]",0.062,6.8265,5.2410,13.5935,[否],[是]
B,deepseek-v3.2,exact,20.00%,80.00%,"[3, 5, 8, 17]","[0, 2, 3, 4, 5, 6, 8, 9, 10, 13, 14, 15, 16, 17, 18, 19]",0.250,4.8354,4.1455,10.0484,[否],[是]
B,qwen-plus,exact,5.00%,80.00%,[0],"[0, 2, 3, 4, 5, 6, 8, 9, 10, 13, 14, 15, 16, 17, 18, 19]",0.062,6.6738,5.0649,13.5935,[否],[是]
