场景,模型,收敛,迭代次数,分享率_LLM,分享率_GT,利润MAE,福利MAE,泄露MAE,泄露分桶匹配,过度分享匹配
B,grok-3-mini,✅,1,0.00%,62.50%,2.4005,2.0643,4.8655,❌,✅
B,gpt-4.1-mini,✅,1,0.00%,62.50%,2.4005,2.0643,4.8655,❌,✅
B,deepseek-v3,✅,1,0.00%,62.50%,2.4005,2.0643,4.8655,❌,✅
